topic, pmi, sc, its, alpha, gamma, eta, inference
0,48.2571,-149.698,76,1e-05,1e-05,0.000154,
1,87.3642,-288.15,80,1e-05,1e-05,0.000154,
2,87.8383,-328.955,80,1e-05,1e-05,0.000154,
3,55.0832,-330.114,80,1e-05,1e-05,0.000154,
4,110.495,-315.317,80,1e-05,1e-05,0.000154,
5,57.2997,-312.164,78,1e-05,1e-05,0.000154,
6,51.2369,-279.376,77,1e-05,1e-05,0.000154,
7,131.818,-234.307,79,1e-05,1e-05,0.000154,
8,82.6035,-277.453,80,1e-05,1e-05,0.000154,
0,95.9626,-279.771,80,1e-05,1e-05,0.000154,smh0
1,87.8383,-328.955,80,1e-05,1e-05,0.000154,smh0
2,55.0832,-328.745,80,1e-05,1e-05,0.000154,smh0
3,110.495,-315.317,80,1e-05,1e-05,0.000154,smh0
4,51.5235,-280.35,78,1e-05,1e-05,0.000154,smh0
5,131.818,-244.315,79,1e-05,1e-05,0.000154,smh0
6,52.1839,-292.613,77,1e-05,1e-05,0.000154,smh0
7,46.0814,-209.245,76,1e-05,1e-05,0.000154,smh0
8,68.6654,-284.678,80,1e-05,1e-05,0.000154,smh0
0,48.2571,-149.698,76,1e-05,1e-05,0.000154,smh1-sp0-mp0
1,73.692,-231.923,80,1e-05,1e-05,0.000154,smh1-sp0-mp0
2,77.1558,-264.647,80,1e-05,1e-05,0.000154,smh1-sp0-mp0
3,87.8383,-321.854,80,1e-05,1e-05,0.000154,smh1-sp0-mp0
4,55.0832,-331.784,80,1e-05,1e-05,0.000154,smh1-sp0-mp0
5,110.495,-315.317,80,1e-05,1e-05,0.000154,smh1-sp0-mp0
6,49.8026,-311.544,78,1e-05,1e-05,0.000154,smh1-sp0-mp0
7,90.2287,-186.487,79,1e-05,1e-05,0.000154,smh1-sp0-mp0
8,52.1839,-311.286,77,1e-05,1e-05,0.000154,smh1-sp0-mp0
0,51.883,-269.142,129,1e-05,1e-05,0.000154,smh1-sp1-mp1
1,72.2371,-265.35,129,1e-05,1e-05,0.000154,smh1-sp1-mp1
2,92.1122,-297.078,129,1e-05,1e-05,0.000154,smh1-sp1-mp1
3,87.8383,-319.908,130,1e-05,1e-05,0.000154,smh1-sp1-mp1
4,55.0832,-317.897,129,1e-05,1e-05,0.000154,smh1-sp1-mp1
5,294.742,-349.42,130,1e-05,1e-05,0.000154,smh1-sp1-mp1
6,51.5235,-306.932,125,1e-05,1e-05,0.000154,smh1-sp1-mp1
7,90.2287,-186.487,126,1e-05,1e-05,0.000154,smh1-sp1-mp1
8,52.5317,-307.845,126,1e-05,1e-05,0.000154,smh1-sp1-mp1
9,65.7281,-267.974,130,1e-05,1e-05,0.000154,smh1-sp1-mp1
10,44.5627,-232.568,125,1e-05,1e-05,0.000154,smh1-sp1-mp1
11,74.7522,-279.679,125,1e-05,1e-05,0.000154,smh1-sp1-mp1
12,52.1839,-302.077,126,1e-05,1e-05,0.000154,smh1-sp1-mp1
13,83.102,-391.035,121,1e-05,1e-05,0.000154,smh1-sp1-mp1
0,73.2856,-221.186,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
1,77.1558,-264.647,138,1e-05,1e-05,0.000154,smh1-sp2-mp0
2,91.7697,-277.594,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
3,55.0832,-312.345,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
4,110.495,-315.317,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
5,57.2997,-312.164,137,1e-05,1e-05,0.000154,smh1-sp2-mp0
6,90.2287,-186.487,136,1e-05,1e-05,0.000154,smh1-sp2-mp0
7,78.3346,-304.369,134,1e-05,1e-05,0.000154,smh1-sp2-mp0
8,74.7522,-289.966,134,1e-05,1e-05,0.000154,smh1-sp2-mp0
9,65.7281,-267.974,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
10,144.488,-210.696,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
11,51.2369,-301.679,137,1e-05,1e-05,0.000154,smh1-sp2-mp0
12,106.423,-302.136,139,1e-05,1e-05,0.000154,smh1-sp2-mp0
13,50.7949,-265.966,140,1e-05,1e-05,0.000154,smh1-sp2-mp0
14,44.5627,-232.568,135,1e-05,1e-05,0.000154,smh1-sp2-mp0
